date,title,text,description
2021-01-12,Daily Crunch: Visa calls off Plaid acquisition,"Regulatory action prompts Visa to back off a fintech acquisition, Uber and Moderna partner and Checkout.com is valued at $15 billion. This is your Daily Crunch for January 12, 2021.
The big story: Visa calls off Plaid acquisition
The deal, valued at $5.3 billion, was first announced just over a year ago. However, the Department of Justice filed suit to block the acquisition in November, arguing that it would “eliminate a nascent competitive threat.”
In today’s announcement, Visa said it could still have made things work, but the threat of “protracted and complex litigation” ultimately prompted it to call things off.
What remains to be seen, however, is whether this might cool financial giants’ interest in acquiring fintech startups and unicorns.
The tech giants
Uber and Moderna partner on COVID-19 vaccine access and information  The only confirmed component involves providing users with credible, factual information about COVID-19 vaccine safety through Ubers consumer app.
Facebook revamps Access Your Information tool to better break down, explain data usage The new version of the tool has been visually redesigned, and now further breaks down the viewable information across eight categories instead of just two.
GM targets delivery companies with new EV business unit BrightDrop  GM has launched a new business unit to offer commercial customers an ecosystem of electric and connected products.
Startups, funding and venture capital
Checkout.com raises $450M and reaches $15B valuation Checkout.com wants to build a one-stop shop for all things related to payments.
Cockroach Labs scores $160M Series E on $2B valuation  Co-founder and CEO Spencer Kimball says the companys revenue more than doubled in 2020 in spite of COVID.
Weber acquires smart cooking startup June June will continue to operate as its own brand.
Advice and analysis from Extra Crunch
These five VCs have high hopes for cannabis in 2021  Despite remaining headwinds, the future is looking up for most cannabis businesses.
Is there still room in the cloud-security market?  While the initial shock of the COVID-19 pandemic has subsided for businesses, one of its main legacies is how it ushered in a tidal wave of accelerated digital transformation.
2021: A SPAC odyssey  A closer look at blank-check offerings for Bakkt and SoFi.
(Extra Crunch is our membership program, which aims to democratize information about startups. You can sign up here.)
Everything else
Rollables are the new foldables  On day one of CES, both LG and TCL have offered their take on yet another form factor designed to offer more screen real estate.
Nielsen says The Office was the most popular streaming series of 2020  Netflix and Disney+ dominated the rankings.
The Daily Crunch is TechCrunch’s roundup of our biggest and most important stories. If you’d like to get this delivered to your inbox every day at around 3pm Pacific, you can subscribe here.","Regulatory action prompts Visa to back off a fintech acquisition, Uber and Moderna partner and Checkout.com is valued at $15 billion. This is your Daily Crunch for January 12, 2021. The big story: Visa calls off Plaid acquisition The deal, valued at $5.3 bill…"
2020-12-03,Opposing Visa’s Plaid Acquisition Is Good Antitrust Enforcement,"The Justice Department has destroyed its credibility over the past four years by prioritizing President Trumps interests over the national interest. Antitrust enforcement is no exception. The department has pursued cases against the presidents enemies, notably investigating an agreement among four auto companies to voluntarily reduce emissions, and it has declined to pursue cases against the presidents friends, allowing T-Mobile to acquire Sprint. But in pursuing the case against Visa, the department is ending the Trump era on a relatively high note, setting an example the Biden administration ought to emulate.
Debit cards, which have soared in popularity in recent decades, allow customers to make purchases by authorizing withdrawals from their bank accounts. Visa operates a system that connects the buyers bank and the merchants bank. For this service, the merchant pays a fee to Visa and to the bank that issued the card. Other companies offer a similar service, but Visa is the dominant player. It processed about 70 percent of the online debit transactions in the United States last year, a business that produced about $2 billion in profits.
Plaid is not one of Visas competitors yet. The start-up provides the plumbing that lets apps like Venmo, a cash transfer service, or Robinhood, a stock trading platform, access users bank accounts. Visas dominance rests on its exclusive relationships with the banks that issue debit cards, but Plaid now has relationships with most of the same banks.
Last year, Visa made a small, exploratory investment in Plaid. A few months later, according to the governments complaint, one of Plaids co-founders called Visa to say that the company was for sale, and the price was about $5 billion. Why would Visa pay so much for a company with revenues of $100 million last year? According to the governments complaint, Plaid made clear that it was planning to get into Visas business. The smaller company told Visa that it was preparing to launch a new system for processing online debit payments, with fees of about 50 percent of Visas.
One Visa executive described Plaids potential as a volcano with just the tip showing above the water, according to the complaint. Visa estimated it could lose a quarter of its online debit business by 2024. The companys chief executive said buying Plaid was an insurance policy. He told investors, we must always do what it takes to protect this business.","In opposing the acquisition of a nascent rival, the Justice Department is taking an important step to protect competition."
2021-01-13,Will startup valuations change given rising antitrust concerns?,"The United States has, over the past few decades, been extremely lenient on antitrust enforcement, rarely blocking deals, even with overseas competitors. Yet, there have been inklings that things are changing. Yesterday, we learned that Visa and Plaid called off their combination after the Department of Justice sued to block it in early November. We also learned a week ago that shaving startup Billie would end its proposed acquisition by consumer product goods giant P&amp;G after the Federal Trade Commission sued to block it in December.
Many, many, many other deals of course get through the gauntlet of regulations, but even a few smoke signals is enough to start raising concerns. That new calculus is even before we start to look at the morass of reforms being proposed around antitrust in Washington DC these days, nearly all of which on a bipartisan basis would create stricter controls for antitrust, particularly in critical technology industries and information services.
So, whats the valuation prognosis for startups these days given that one of the most important exit options available is increasingly looking fraught?","The United States has, over the past few decades, been extremely lenient on antitrust enforcement, rarely blocking deals, even with overseas competitors. Yet, there have been inklings that things are changing. Yesterday, we learned that Visa and Plaid called …"
2021-01-04,The Morning After: Samsung's Galaxy S21 will be revealed on January 14th,"The new year starts in earnest today, and while there’s that whole online tech show to report on soon, Samsung has decided to bookend it with the launch of its new Galaxy phones. Yep, it’s confirmed the unveiling for Thursday, January 14th — the last day of CES. (Good thing we’ve already collated everything we’re expecting to see at the event, right here.)
It's all but certain we’ll see a new Galaxy S21 family, including a basic model, the S21 Plus and S21 Ultra, possibly alongside a new set of wireless Galaxy Buds. As Chris Velazco wrote, while a launch event this early in the year is unusual for Samsung, the company's moves later in the year may prove to be even more surprising. Some rumors suggest Samsung will push ""more accessible"" (i.e. cheaper) foldable smartphones, reducing the focus on its Galaxy Note family.
— Mat Smith
Expect a wider, more aggressive-looking EV.
Tesla’s Model S design hasn’t really changed much since 2016, but it appears poised for an (arguably overdue) update. YouTube channel TheKilowatts spotted what appears to be a Model S design refresh roaming around Palo Alto. It seems to have a wider body with a more pronounced fender and wider hips, as well as changes to the wheels, lights and rear diffuser.
It’s not certain if there are any internal changes. Tesla hopes to deliver its more powerful, longer-ranged Model S Plaid in late 2021, but this redesign might not necessarily be the new Plaid model.Continue reading.
Related: Watch Tesla's Full Self-Driving navigate from SF to LA with (almost) no help
The two companies are reportedly in advanced discussions.
After short-form streaming site Quibi died, what happened to its shows? Instead of dying a death, it’s possible they may be sold to streaming app and hardware manufacturer Roku, according to a report from The Wall Street Journal. Roku has never made its own original content, despite being deeply entrenched in the streaming world. The acquisition of Quibi would give it a slate of original programming as a potential benefit for its hardware buyers.Continue reading.
WhatsApp set an all-time record for calls on New Year's Eve
The pandemic led many to go with virtual gatherings.
WhatsApp set a record as 2020 came to a close, with 1.4 billion video and voice calls placed on New Year’s Eve 2020 — the most ever in a single day on WhatsApp. It was also a 50 percent jump in calls over the same time from a year earlier and surpassed even the early days of the pandemic back in March.Continue reading.
Sponsored by StackCommerce","The new year starts in earnest today, and while there’s that whole online tech show to report on soon, Samsung has decided to bookend it with the launch of its new Galaxy phones. Yep, it’s confirmed the unveiling for Thursday, January 14th — the last day of C…"
2021-01-13,Affirm doubles after starting to trade despite strong IPO pricing,"Today shares of Affirm, a buy-now-pay-later unicorn, started trading above $90 per share, far above its $49 per-share IPO price, a figure that was already miles above the companys early expectations.
The pop comes after Affirm raised its pricing range earlier this week, to $41 to $44 per share, up from an initial range of $33 to $38 per share. To see the company double from its raised price implies strong demand for its shares, a thin float, or both.
Affirms explosive debut comes on the heels of similarly-strong results from DoorDash, C3.ai, and Airbnb. Those companies debuts were so strong that Roblox delayed its IPO, later swapping a traditional IPO for a direct listing to get around the pricing issue.
Todays IPO shows that the same dynamics that were at play in those IPOs have persisted into 2021. More public debuts are expected in Q1, including Coinbase, another well-known unicorn. Other names like Robinhood, Bumble, and others are in the wings.
Affirms first-day performance will certainly raise eyebrows from regular critics of the traditional IPO process. But the company did raise more money than it perhaps anticipated, and is having a raucous first-days trading, so its hard to fret too much for the company. If its share price is still as high in a month as it is today, perhaps it was as underpriced as some will claim.
Fintech
Affirms pricing brings a green splash to a busy week for fintech giants. Yesterday, Visas $5.3 billion acquisition of Plaid failed to go through due to regulatory concerns. While the fallen deal could have a chilling effect on fintech startups, Plaid told TechCrunch that it saw 60% customer growth in 2020, bringing it to more than 4,000 clients. Plaids next step, per many in the VC and tech community, will be even bigger than its once-planned $5.3 billion dollar exit.
Some tweets here to give you a sense of the momentum around fintech right now:
Imo, give a few years, they'll acquire Visa.
— Shani Majer (@ClicWill2) January 12, 2021
January of 2021 feels not very much different from January of 2020 for fintech
Funding rounds announced by Blend, Mx (Utah!), Modern Treasury, Relay Payments (Atlanta!), Rapyd Payments, Checkout, Curve, Rho, Reggora etc
Plaid news! Affirm IPO! Walmart-Ribbit!
— Sar Haribhakti (@sarthakgh) January 13, 2021
Affirms pop and Plaids forward-looking attitude show that the exit market for fintech feels both optimistic and energetic.","Today shares of Affirm, a buy-now-pay-later unicorn, started trading above $90 per share, far above its $49 per-share IPO price, a figure that was already miles above the company’s early expectations. The pop comes after Affirm raised its pricing range earlie…"
2021-01-12,Visa just pulled the plug on its $5.3 billion bid for Plaid following DOJ suit,"Visa and Plaid have agreed to call off their $5.3 billion deal, the companies said in a statement Tuesday.
Visa announced its plans to acquire Plaid in January 2020. But the deal faced regulatory scrutiny from the Department of Justice, which filed a suit against Visa alleging the payments giant was attempting to squash a potential competitor. 
Plaid serves as the behind-the-scenes piping between third-party apps and banks, enabling the former to access financial data on customers from the latter. 
Despite axing the deal, the card network remained firm the acquisition was on solid footing. 
""We are confident we would have prevailed in court as Plaid's capabilities are complementary to Visa's, not competitive,"" Al Kelly, chairman and CEO of Visa, said in a statement regarding the termination of the deal. 
Visa initially planned to defend the acquisition, calling the DOJ's case ""legally flawed."" The DOJ cited internal communications at Visa in which execs discussed Plaid's threat to Visa's $4 billion debit business. 
""We believe the combination of Visa with Plaid would have delivered significant benefits, including greater innovation for developers, financial institutions and consumers,"" Kelly said. ""However, it has been a full year since we first announced our intent to acquire Plaid, and protracted and complex litigation will likely take substantial time to fully resolve.""
Read more: Plaid has been quietly building a new payments tool and Visa wants to buy it to squash competition, US antitrust regulators say
Meanwhile, Plaid, which works with fellow startups like Betterment, Coinbase, and Acorns, spoke to the significant growth it saw in 2020 as financial apps saw a large increase in popularity throughout the year.
Zach Perret, CEO and cofounder of Plaid, cited a more than 60% growth in customers in 2020, and the addition of ""hundreds"" of banks to the system in a statement.
""This past year saw an unprecedented uptick in demand for the services powered by Plaid, and our priority is to support the hundreds of millions of people who now rely on fintech,"" Perret said in the statement.
""While Plaid and Visa would have been a great combination, we have decided to instead work with Visa as an investor and partner so we can fully focus on building the infrastructure to support fintech,"" he added.
Visa and rival Mastercard both participated in Plaid's $250 million Series C in 2018.","Summary List PlacementVisa and Plaid have agreed to call off their $5.3 billion deal, the companies said in a statement Tuesday.
Visa announced its plans to acquire Plaid in January 2020. But the deal faced regulatory scrutiny from the Department of Justice, …"
2020-12-23,Negotiations fall through on FIS and Global Payments' $70 billion merger,"Payments and banking technology firm FIS and merchant ecommerce and omnichannel solutions firm Global Payments were recently in advanced talks to merge in a $70 billion deal, though negotiations have since fallen through, per The Wall Street Journal.
A FIS-Global Payments merger would have shaken up the global payments space.
Insider Intelligence
It's unclear why deal talks were unsuccessful, but the potential FIS-Global Payments merger would've been the largest of the year, according to Dealogic, as cited by The Journal. Sources say it's unlikely that talks will rev up again anytime soon, but there's a possibility that they could be revived later on, although prospects remain uncertain.
The unsuccessful merger talks between FIS and Global Payments come amid recent wide-scale M&amp;A moves throughout the payments space.
FIS created a payments powerhouse when it bought Worldpay for $35 billion in 2019. At the time, Worldpay was the largest global merchant acquirer, focusing on payment processing technology and solutions for merchants. FIS' acquisition of Worldpay gave it access to all of Worldpay's clients—adding to FIS' 20,000 global clients—and transactional data. This has enabled the firm to significantly build out its merchant services and tools, as well as strengthen its positioning as a leader in the global payments space.
Global Payments merged with TSYS last year to ramp up payment technology solutions. The $21.5 billion deal enabled both firms to leverage each other's strengths. Global Payments provides ecommerce and omnichannel solutions for over 2.5 million businesses, including point-of-sale (POS) offerings and credit terminals. Meanwhile, TSYS provided credit card processing, issuing, and merchant acquiring services as well as other payment offerings to over 3.5 million small business locations and more than 1,300 financial institutions. Combined, both firms offer wide-ranging payment solutions to serve a large global client network.
A potential FIS-Global Payments merger would have shaken up the global payments space by consolidating a plethora of payment offerings—though the deal might've faced antitrust scrutiny. There has been ongoing M&amp;A activity in 2020 as firms look to consolidate payment solutions to keep pace with rapid industry change. Earlier this year, France-based Worldline received EU approval to move forward with its acquisition of Ingenico, helping provide a wide range of digital payment capabilities for merchants.
Meanwhile, Visa announced plans to purchase payments technology firm Plaid to expand its digital offerings, though the deal is currently facing antitrust concerns. A potential FIS-Global Payments deal would've accelerated this trend and ultimately created a payments behemoth by merging the processing, merchant acquiring, ecommerce and omnichannel solutions, and POS offerings that both FIS and Global Payments encompass, leading to a reduction in market competition. Though it remains uncertain if merger negotiations will be revived, it's likely that a deal between the two firms might bring antitrust scrutiny, considering the size and scale of a potential combined entity.
Want to read more stories like this one? Here's how you can gain access:
<ol><li>Join other Insider Intelligence clients who receive this Briefing, along with other Payments &amp; Commerce forecasts, briefings, charts, and research reports to their inboxes each day. &gt;&gt;Become a Client</li><li>Explore related topics more in depth. &gt;&gt; Browse Our Coverage</li></ol>Current subscribers can access the entire Insider Intelligence content archive here.","Summary List PlacementPayments and banking technology firm FIS and merchant ecommerce and omnichannel solutions firm Global Payments were recently in advanced talks to merge in a $70 billion deal, though negotiations have since fallen through, per The Wall St…"
2020-12-04,This banking-as-a-service fintech helping businesses embed payments tech into their apps just raised a $27 million Series A led Andreessen Horowitz,"Wade Arnold witnessed firsthand the challenges of combining new, online banking tools with older bank payment systems. While leading Banno, a fintech he founded in 2008, Arnold saw the difficulties that come with trying to upgrade tech at smaller banks and credit unions with limited resources.
After Banno's acquisition by banking tech Jack Henry in 2014, Arnold has gone on to create a new company that aims to solve some of those problems around how companies send, receive and store money on their apps.
Iowa-headquartered Moov is banking-as-a-service, helping businesses embed transactional banking tools — like the ability to send ACH payments — directly into their apps, all while being flexible (it can be used with different bank software, for example) and open-sourced (the code is freely available online). 
Read more:Meet the 38 fintechs that investors say are the next generation of breakout B2B stars. Here's who they think will follow in the footsteps of Plaid and Stripe.
On Friday, Moov announced the closing of a $27 million Series A round, led by Andreessen Horowitz, also known as a16z, with participation from Gokul Rajaram, an executive at DoorDash, and prior investors. The cash raise comes on the back of a $5.5 million seed round in August that was led by Matt Harris at Bain Capital.
As part of the capital raise, Angela Strange, a general partner at a16z, will be joining Moov's board along with Harris.
""Capital comes in more ways than just cash,""Arnold told Business Insider of a16z's involvement in the fundraising. ""They bring a whole lot to the table.""
At a16z, Strange and general partner Peter Levine co-led the Moov deal, combining Strange's experience investing in financial services companies with Levine's knowledge of open-source technology communities.
Arnold said the infusion of capital will allow Moov to build out key client demands, like more methods for transfering funds, but in a methodical way. 
""As a payment provider, being sustainable is pretty darn important. That's what the capital allows us to do, to make that solid substrate, that solid foundation of these technologies, without taking shortcuts,"" said Arnold. 
Moov has ""such a deep understanding of this space,"" Strange said. Given Arnold's background since starting Banno, she continued, he ""has this rare technical brain that really understands the new and really understands the old, which is hard to find."" 
Strange declined to disclose Moov's valuation. 
The investments in Moov come at a time when the tech needs of a community bank are vastly different than that of an online bank like Chime, Arnold said.
""The old systems weren't designed for scale. The scale that comes with platforms puts a lot of pressure on systems that were designed for in-person service,"" he continued. As a result, there's often a mismatch between the seamless experience customers experience when they use an app to initiate a money transfer and what happens behind the scenes. 
Smaller banks have been forced to rethink their digital strategies this year as lockdowns from the pandemic have increased consumers' shift towards digital banking. 
See more: Digital-only banks have doubled their consumer bases and raised $4.6 billion in funding this year. Here's how startups like Chime, Dave, and Acorns are making big strides in 2020.
What differentiates Moov, in large part, is that the technology they create is open-source — meaning it's freely available to access online on the code-sharing website GitHub and open for discussion on their public Slack channel. But rather than encourage potential competitors, the approach has actually drawn backers, according to Arnold. 
""I think that's what got Andreessen Horowitz excited about this,"" he said. 
It was a sentiment echoed by Strange. Moov's open-source community creates a ""highly reliable, down to the core primitive building block,"" she said, since so many developers can contribute to the code.","Summary List PlacementWade Arnold witnessed firsthand the challenges of combining new, online banking tools with older bank payment systems. While leading Banno, a fintech he founded in 2008, Arnold saw the difficulties that come with trying to upgrade tech a…"
2020-12-17,Intuit and Credit Karma's CEOs explain how combining credit and tax data on a 'massive' scale are key following the closure of the $8.1 billion deal between the two companies,"Credit Karma has long been known as the go-to for free credit scores. But since its founding in 2007, the startup has expanded its reach to create a more complete offering. It's since launched savings and checking accounts and a tax filing service for its more than 110 million users.
Its scale and reach proved attractive to Intuit, which announced plans to acquire Credit Karma in February.
On December 3rd, the acquisition closed, contingent on Credit Karma selling its tax offering to Square, which was a requirement of the deal following review by the Department of Justice. Credit Karma Tax had historically competed with Intuit's TurboTax.
The deal ultimately closed for $8.1 billion in cash and stock, $1 billion more than the initial price announced. The adjustment was due to an increase in Intuit's stock price this year and a working capital adjustment related to Credit Karma's value, including $300 million in cash on Credit Karma's balance sheet, a spokesperson told Business Insider.
Together, the companies could become an undeniable force in consumer finance. Credit Karma's store of consumer financial data is huge, as is Intuit's, which has over 50 million W-2s and 28 million 1099's.  
""The scale of what we have together is massive,"" Sasan Goodarzi, CEO of Intuit, told Business Insider. ""And in the last nine months, from the time of announcement to close, we've built all of the data pipes.""
Read more: Intuit is set to buy Credit Karma for $7.1 billion — here's what the TurboTax owner has to gain from the buzzy startup known for its free credit scores
Data will be key to their future plans.
The companies are looking to ""fundamentally transform how consumers achieve financial freedom,"" Goodarzi said. While Credit Karma will continue to run separate to Intuit, with cofounder and CEO Ken Lin staying on to run things, there will be plenty of overlap between the two sides. 
Lin said the deal has the potential to be viewed as a ""turning point"" for consumers a decade from now thanks to the ability for both companies to pool resources, data elements, and cutting-edge tech.
With more data, Intuit and Credit Karma can offer consumers optimized and cheaper financial products, saving them money and potentially putting pressure on incumbents who charge fees and higher interest rates.
""I think that will level the playing field so that some of the most underprivileged consumers have the same access to technology and products that some of the most wealthy and affluent consumers have,"" Lin added.
Intuit and Credit Karma will benefit from the scale of the new company
While the companies will continue to operate separately, they'll be able to share data and customer insights, taking advantage of each other's massive scale.
Banks and fintechs have evolved financial offerings and used new sets of data to make credit decisions, but consumers have been left behind, Lin said. As a result, the space has the potential to be transformed, he added.
By helping consumers understand which products they qualify for and why, Credit Karma aims to simplify consumers' financial lives. And it'll will be boosted by Intuit's consumer data.
""We now have the credit profile and the income and assets profile,"" Lin said. ""By the way, these are the data sets that banks are using to determine your eligibility. So now we have it for the consumer.""
With that data, Credit Karma can simplify historically complex and manual processes, like applying for credit and refinancing a mortgage. By proactively looking for more cost-effective credit and automating application processes, Credit Karma wants to change the way consumers overpay for financial products.
""Imagine how much better off the consumer will be in terms of cash flow, and in terms of the way they overpay for their financial services products,"" Lin said. ""That's where the industry is, and that's where we think we can bring consumers along.""
Read more: $7.1 billion Credit Karma is launching its first checking account, and execs think the new offering could be a key data source for recommending loans
Through Credit Karma Money, for example, Lin is focused on reinventing the checking account, offering an alternative to the fee-bearing accounts offered by traditional banks. And Intuit, which processes $300 billion in tax refunds every year, will only boost Credit Karma's reach.
""That is kind of how consumers stand to benefit. When you bring Intuit into the equation, you really turbo charge it,"" Lin said.
The two CEOs say the DOJ's antitrust review was thorough
As bright as the future looks for Intuit and Credit Karma, that's not to say there weren't bumps along the way.
Prior to approving the deal, the DOJ required that Credit Karma agree to sell its tax business to Square for $50 million. 
Credit Karma Tax, launched in 2017, gave the company insight into users' income data, in addition to their existing credit data. It was a powerful resource for Credit Karma's core business: recommending credit offerings.
And while they weren't initially expecting to sell Credit Karma Tax, the CEOs said they understood, and weren't going to delay the deal on that condition.
""It's certainly not what we were anticipating when we started the deal, but we also went into it with eyes wide open, knowing that we really had to think about every contingency of what the DOJ is going to require and we have to be thoughtful,"" Lin said.
Read more:Plaid has been quietly building a new payments tool and Visa wants to buy it to squash competition, US antitrust regulators say
The DOJ was primarily concerned with what this deal means for consumers, looking at how it would impact competition in the space, Goodarzi said. Generally, the two CEOs say that the antitrust process was a positive experience, which they said was thoughtful and thorough.
While the DOJ has recently approved other fintech deals, like Mastercard's acquisition of data aggregator Finicity, deals like Visa's acquisition of Plaid have come under antitrust scrutiny.
""We didn't want to get stuck here with the DOJ,"" Lin said. ""We think uncertainty from an investor, a user, and an employee perspectives are terrible outcomes.""","Summary List PlacementCredit Karma has long been known as the go-to for free credit scores. But since its founding in 2007, the startup has expanded its reach to create a more complete offering. It's since launched savings and checking accounts and a tax fili…"
2021-01-13,"Dow Jones Edges Higher as Intel Picks New CEO, Visa Abandons Plaid Acquisition","The Dow Jones Industrial Average (DJINDICES:^DJI) was up about 0.2% at 1 p.m. EST Wednesday as the U.S. House of Representatives debated a historic second impeachment of President Donald Trump. The impeachment effort will likely draw some Republican support.
The Dow rose despite a record 4,400 U.S. deaths reported for Tuesday attributed to the COVID-19 pandemic, according to Johns Hopkins University. While effective vaccines should eventually put an end to the pandemic, the situation could get a lot worse before it gets better.
Turning to individual stocks, shares of Intel(NASDAQ:INTC) rose after the company announced that it was replacing its CEO, while shares of Visa(NYSE:V) edged higher even after its acquisition of fintech company Plaid fell apart.
Image source: Getty Images.
Intel to replace CEO
Chip giant Intel has fallen behind competitors on multiple fronts. The company has watched as rival Advanced Micro Devices staged a comeback, stealing share in the desktop, laptop, and server CPU markets. Manufacturing stumbles have been part of the problem: Intel has faced chronic delays, and the company no longer has any sort of technological edge over third-party foundries.
Intel announced on Wednesday that CEO Bob Swan was stepping down effective Feb. 15. Swan will be replaced by Pat Gelsinger, the current CEO of virtualization software provider VMware. This move comes just weeks after activist investor Daniel Loeb called for Intel to make big changes, including potentially spinning off its manufacturing operations.
Intel said the CEO change was unrelated to the company's 2020 financial performance. The company also said that it expects to exceed its guidance for fourth-quarter revenue and earnings per share and that it will provide an update on its delayed 7nm process technology when it reports its results on Jan. 21.
The management shuffle was welcomed by investors, who sent the stock up about 7.5% by early Wednesday afternoon. Intel stock has languished over the past year due to a variety of factors, including the manufacturing stumbles, a resurgent AMD, and the prospect of ARM-based server chips going mainstream, driven by the pending acquisition of ARM Holdings by NVIDIA.
Even factoring in Wednesday's rally, Intel stock is still down slightly over the past year.
Visa gives up on acquiring Plaid
Credit card giant Visa has abandoned its efforts to acquire fintech company Plaid. Visa announced on Tuesday that the two companies had mutually agreed to terminate the merger agreement. Visa originally announced the $5.3 billion deal in January of 2020.
The U.S. Department of Justice sued to block Visa's acquisition of Plaid in November, filing a civil antitrust suit alleging that Visa was making the acquisition to protect its lucrative debit business. The DOJ said that Plaid was developing a payments platform that would challenge Visa's debit monopoly and that Visa was trying to buy the company to eliminate a potential competitive threat.
Plaid allows apps to connect to consumers' bank accounts. The company's technology powers many fintech apps, making it a leading financial data-aggregation company. The DOJ's lawsuit contends that a money-movement platform offered by Plaid could leverage its existing technology and bank account connections and allow it to disrupt Visa's monopoly.
Visa believes it would have prevailed in court, but the company said it was dropping the effort because a ""protracted and complex litigation will likely take substantial time to fully resolve.""
Shares of Visa were up about 0.8% by early Wednesday afternoon. While investors don't seem to mind that the acquisition fell apart, an eventual disruption of Visa's debit business could hurt the stock down the road.","Intel will get new leadership next month as it faces major challenges, and Visa will no longer acquire Plaid."
